0,1,2
体温,不明原因发热,病情描述发病时间、主要症状、症状变化等）：男性，66岁，不明原因发热1月，去第一家医院检查发现腹腔积液及双侧胸腔积液，胸水检查为漏出液，胸膜活检提示化脓性炎症，抗炎治疗后<entity>降至正常出院，但出院2日后再次出现发热；曾经治疗情况和效果：后来去第二家医院，入院前两日反复发热，白细胞入院时15&times;10~9/L，嗜碱性粒细胞6.5%，骨髓象提示有核细胞极度活跃，粒细胞极度活跃，可见中毒颗粒及空泡，抗炎治疗后<entity>降至正常，但复查血常规白细胞18&times;10~9/L，嗜碱性粒细胞5.6%。想得到怎样的帮助：现在<entity>正常，但血象仍是异常，请问是什么原因？有可能是血液系统疾病吗？
休克,疾病,90岁男无其他疾病患胆结石几十年今年发作三次了两次病危每次住院半个多月只是输消炎以及营养的液体因年纪大了医生不敢做手术但是现在已经吃不下任何东西还胃胀恶心十分消瘦下不了床了曾患过胰腺炎有一点肾结石请问医生该怎么办？做手术实在怕身体扛不住求医生给点建议拜谢曾经治疗情况和效果：前几年都没什么太大的事只是吃多了鸡蛋之类的会不舒服但是今年发作三次了两次病危去医院也只是保守治疗输氨基酸消炎的还有补充营养的想得到怎样的帮助：请问医生这样的体质能不能做手术成功的机率有多大是麻醉危险还是手术危险没有别的希望了吗？真的疼到<entity>哎拜谢（）
休克,症状,病情描述发病时间、主要症状、症状变化等）：我的儿子真是把大家都吓坏了，刚生出来就<entity>，实在是我也想死了，现在全家人都很担心孩子的安危，孩子已经被送到保温箱里了，但愿孩子会没事，都不知道为什么会这样。想得到怎样的帮助：新生儿<entity>会死吗？
休克,症状,新生儿<entity>的症状有哪些
休克,症状,病情描述发病时间、主要症状、症状变化等）：我朋友家的孩子现在两个月了，但是有的时候一生气就憋气<entity>到医院一检查说是患了新生儿<entity>，朋友现在很苦恼，希望大家能帮帮这个孩子吧。想得到怎样的帮助：新生儿<entity>怎么治疗？
休克,症状,新生儿<entity>的症状
休克,症状,病情描述发病时间、主要症状、症状变化等）：刚出生3个月后.出现呼吸急促！食欲极差几乎到了为什么都不吃的状态）送医院差一点导致<entity>.经过医生诊断说是先天性心脏病！彩超拍下来说心脏上有几个洞.最后医生关照说心脏上的缺损以后会慢慢长好.打算到孩子稍微大一些去拍心胀彩超看看情况：
休克,症状,病情描述发病时间、主要症状、症状变化等）：小王上周才生的孩子，现在母女两人都在医院呢，可是小宝宝最近，呼吸非常急促，昏迷了。吓得小王赶紧叫医生，医生说是新生儿<entity>。想得到怎样的帮助：十分担心，想知道这是什么原因。
中毒,疾病,病情描述发病时间、主要症状、症状变化等）：男性，66岁，不明原因发热1月，去第一家医院检查发现腹腔积液及双侧胸腔积液，胸水检查为漏出液，胸膜活检提示化脓性炎症，抗炎治疗后体温降至正常出院，但出院2日后再次出现发热；曾经治疗情况和效果：后来去第二家医院，入院前两日反复发热，白细胞入院时15&times;10~9/L，嗜碱性粒细胞6.5%，骨髓象提示有核细胞极度活跃，粒细胞极度活跃，可见<entity>颗粒及空泡，抗炎治疗后体温降至正常，但复查血常规白细胞18&times;10~9/L，嗜碱性粒细胞5.6%。想得到怎样的帮助：现在体温正常，但血象仍是异常，请问是什么原因？有可能是血液系统疾病吗？
血管炎,疾病,醋酸波尼松片治疗<entity>跟过敏性疾病有疗效吗
血管炎,疾病,请问变应性皮肤<entity>是出血性疾病吗？
血管炎,疾病,变应性皮肤结节性<entity>是个什么疾病啊？
血管炎,疾病,<entity>疾病
血管炎,疾病,变应性<entity>会复发吗？我前段时间患了这种疾病了，现在已经治疗
血管炎,疾病,霜样树枝状视网膜<entity>可以并发哪些疾病?
血管炎,疾病,<entity>是一种什么样的疾病?
血管炎,疾病,肺<entity>可以并发哪些疾病?
血管炎,症状,<entity>的症状有哪些?
血管炎,症状,显微型多<entity>的症状有哪些
血管炎,症状,<entity>综合征的症状有哪些
血管炎,症状,这样的症状是不是皮肤<entity>？
血管炎,症状,过敏性肺嗜酸粒细胞肉芽肿性<entity>的症状
血管炎,症状,过敏性<entity>的症状表现是什么
血管炎,症状,请问<entity>症状表现是什么
血管炎,症状,<entity>是什么症状
血管炎,症状,<entity>的症状有哪些？
血管炎,症状,系统性<entity>分几种类型？这几种类型的症状有什么不同？
血管炎,症状,皮肤<entity>有什么症状？
血管炎,症状,荨麻疹性<entity>症状是什么
血管炎,症状,<entity>的症状表现是什么
血管炎,症状,过敏性肉芽肿性<entity>相关巩膜炎的症状有哪些
血管炎,症状,肺良性淋巴细胞<entity>和肉芽肿病的症状有哪些
血管炎,症状,原发性中枢神经系统<entity>的症状有哪些
血管炎,症状,原发性小<entity>性肾损害的症状有哪些
血管炎,症状,请问霜样树枝状视网膜<entity>症状是什么
血管炎,症状,变应性皮肤结节性<entity>的症状表现是什么
血管炎,症状,荨麻疹性<entity>的症状有哪些
血管炎,症状,节段性透明性<entity>的症状有哪些
血管炎,症状,中枢神经系统肉芽肿性<entity>有什么症状？
血管炎,症状,<entity>性周围神经病的症状
血管炎,症状,<entity>有什么N症状，怎么治疗？
血管炎,症状,<entity>性周围神经病的症状有哪些
血管炎,症状,变应性肉芽肿<entity>的症状有哪些
血管炎,症状,过敏性肉芽肿性<entity>相关巩膜炎的症状表现是什么
血管炎,症状,<entity>前期综合征的症状表现是什么
血管炎,症状,请问皮肤<entity>有哪些症状？
血管炎,症状,请问这种症状是<entity>吗？
血管炎,症状,请问<entity>有哪些症状？
血管炎,症状,变应性皮肤结节性<entity>的症状
血管炎,症状,请问变应性<entity>会导致发热的症状吗？
血管炎,症状,<entity>综合征有哪些症状？
血管炎,症状,皮肤白细胞破碎性<entity>的症状
血管炎,症状,<entity>有什么症状
血管炎,症状,非特异性系统性坏死性小<entity>有哪些症状
血管炎,症状,变应性<entity>的症状有哪些
血管炎,症状,<entity>的症状表现
血管炎,症状,<entity>是什么症状?
血管炎,症状,请问原发性小<entity>性肾损害症状表现是什么
血管炎,症状,<entity>患者的症状是什么？
血管炎,症状,<entity>的症状
血管炎,症状,请问中枢神经系统肉芽肿性<entity>症状表现是什么
血管炎,症状,请问荨麻疹性<entity>症状表现是什么
血管炎,症状,<entity>早期的症状
血管炎,症状,请问肺<entity>症状是什么
血管炎,症状,<entity>性周围神经病的症状表现是什么
血管炎,症状,变应性皮肤<entity>的症状是什么？
血管炎,症状,<entity>的症状及治疗
血管炎,症状,显微镜下多<entity>的症状有哪些
血管炎,症状,肺<entity>的症状有哪些
血管炎,症状,<entity>的症状是什么？
血管炎,症状,请问，<entity>有哪些具体症状，
血管炎,症状,皮肤白细胞破碎性<entity>的症状表现是什么
血管炎,症状,皮肤白细胞破碎性<entity>的症状有哪些
血管炎,症状,<entity>的症状有哪些
血管炎,症状,系统性<entity>所致神经损害的症状有哪些
血管炎,症状,系统<entity>的症状
血管炎,症状,<entity>的早期症状
血管炎,症状,神经<entity>症状
血管炎,症状,原发性小<entity>性肾损害的症状
血管炎,症状,结节性<entity>的症状是什么？
社区获得性肺炎,肺炎,重症<entity>
社区获得性肺炎,肺炎,加替沙星胶囊有<entity>的作用可以长期服用吗
胸腔积液,疾病,病情描述发病时间、主要症状、症状变化等）：问题描述：患者女55岁“双下肢浮肿半月”半月前无明显诱因出现双下肢浮肿以膝下明显为凹陷性偶伴有视物不清睁眼无力眼中异物感无发热腰痛尿频尿急尿痛无头晕头痛恶心呕吐等表现于6月22日到医院检查查尿常规示：比重1.010尿蛋白5g/l+++）潜血10mg/l+）上皮细胞+++）及少许白细胞；血生化示：总蛋白50.2g/l白蛋白20.6g/l白球比0.70总胆固醇12.21mmol/l甘油三脂4.50mmol/l低密度脂蛋白胆固醇8.19mmol/l非高密度脂蛋白胆固醇10.3mmol/l钾3.57mmol/l钙1.88mmol/l心电图示V4-V6导联T波低平低小.以“蛋白尿原因待查”收住院入院后完善相关检查肝功蛋白尿常规基本同前肝炎病毒学阴性抗核抗体谱全阴性免疫全套中lgM3.36g/l胸片示：左侧胸中内带不规则高密度影肺内病变?纵隔病变?于是立即行胸部CT检查示：影像描述为前纵隔内胸腺区域内可见一肿块影大小约为6&times;9&times;13cm呈软组织样密度其向左下胸腔内生长肿块边缘包膜完整与周围组织分界清晰未见向血管间隙内侵犯肿块内密度均匀增强后均匀性强化纵隔内脏器略显受压右移.意见：1前纵隔占位考虑胸腺瘤可能；2双肺未见实质性病灶；3心脏不大主动脉壁钙化；入院检查过程中给予活血治疗每天适当利尿治疗.相应图片在附件中）既往：患者在约半年前因“尿路感染”曾验过尿常规当时尿中只有白细胞未见蛋白尿；近半年来眼睛的异物感睁眼无力曾在眼科就诊结论为沙眼给予相关对症治疗一直无明显好转最近视物模糊.既往体健精神状况佳运动后无心悸胸闷无糖尿病既往血压偏低约90/60mmhg无相关家族史无药物过敏史.经确诊为胸外科疾病后转入胸外科准备手术治疗开始对症运用“人血白蛋白”10g/d开始补充一周治疗后白蛋白无明显改善仍为白蛋白20.1g/l.另甲状腺功能检查示：T30.94nmol/lT463.62nmol/lrT30.11nmol/lhTSH10.99uIU/ml现在针对以上情况我做为家属有以下几个问题请各位专家给予指点及帮助：1现在是否耐受手术若不能是在哪些方面?2低蛋白血症应如何纠正?加大剂量给人血白蛋白肾脏能否可以耐受?要补到什么程度可以手术?3怎么避免术后有可能出现的一些症状如全身浮肿<entity>咳嗽无力蛋白持续不升等?4比如肾病综合症甲减眼征都是与这个胸腺瘤有关吗?5术中及术后的风险在哪些方面?特此鸣谢!
胸腔积液,疾病,病情描述发病时间、主要症状、症状变化等）：男性，66岁，不明原因发热1月，去第一家医院检查发现腹腔积液及双侧<entity>，胸水检查为漏出液，胸膜活检提示化脓性炎症，抗炎治疗后体温降至正常出院，但出院2日后再次出现发热；曾经治疗情况和效果：后来去第二家医院，入院前两日反复发热，白细胞入院时15&times;10~9/L，嗜碱性粒细胞6.5%，骨髓象提示有核细胞极度活跃，粒细胞极度活跃，可见中毒颗粒及空泡，抗炎治疗后体温降至正常，但复查血常规白细胞18&times;10~9/L，嗜碱性粒细胞5.6%。想得到怎样的帮助：现在体温正常，但血象仍是异常，请问是什么原因？有可能是血液系统疾病吗？
胸腔积液,疾病,我于07年12月检查出肺结核、后在当地疾病控制中心吃药９个月后痊愈、14年4月感觉胸闷一个月后CT我于07年12月检查出肺结核、后在当地疾病控制中心吃药９个月后痊愈、14年4月感觉胸闷一个月后CT检查双肺纹理正常、左肺下叶背段见结节状、索条状致密影、大部分病灶已钙化、余肺野内未见异常密影、肺门无增大、双侧气道通畅、心脏大小正常、纵隔无占位性病变、无淋巴结肿大、胸廓形态正常、胸壁无异常改变、未见<entity>、检查意见（左肺下叶背段增殖性病灶）问门诊的医生说有肺结核病史的属于正常、住院部医生说索条状致密影是长６公分的肿瘤＇具体要做手术化验才知道？请问各位专家我该怎么办？
胸腔积液,疾病,恶心<entity>腹腔积液肝大脾大是什么病疾病的治疗肚子痛曾经治疗情况和效果：想知道得了什么波）
胸腔积液,疾病,岁间断胸闷、心慌1月余纳差10余天加重并腹痛2天患者有乙型肝炎2年检查示大三阳否认既往有结核病史曾经治疗情况和效果：在当地医院在多家医院诊疗1月余未找出病因按照结合给予实验性治疗并行心包穿刺抽出暗红色血性液并有大量<entity>呈茶色本次入我院检查发现大量心包积液左侧胸腔大量、右侧中量<entity>化验示乙型肝炎大三阳肝功能极差入院时谷丙转氨酶398U/L谷草转氨酶1180U/L心肌酶高血小板低20&times;109/L（10的9次方）给予行心包及左侧胸腔穿刺穿刺留置细引流管2天间断引流出心包内暗红色血性液2000ml<entity>（茶色）2000ml并给予输红细胞、血浆、冷沉淀及血小板治疗及对症治疗患者感症状减轻但仍有大量暗红色血性液引出左侧<entity>基本消失肝功能仍较差化验提示CA-125高其余未发现明显异常抗结核抗体阴性甲胎蛋白及癌胚抗原均阴性想得到怎样的帮助：患者为何种疾病及诊疗方法？（）
胸腔积液,疾病,关于肝、胸腔等方面疾病的咨询？因为常年喝酒岁数也大了，发现自己的胸部很不得劲，有时候还上不来气什么的，感觉呼吸困难，所以自己就去药店买了点肝的药品，但是吃吃的感觉没有什么大的变化，所以准备去医院去看看。。胸腔都大量的积液，经多项检测是结核性胸膜炎引起的<entity>，但是最近发现肝脏有阴影，但是通过多次检测，不能确定是不是肝脏阴影，想问一下，<entity>会破坏到肝脏吗？
胸腔积液,症状,发现有包囊性<entity>如何确诊是有结核性胸膜炎还是肺癌或者其他部我妈两周前突然咳嗽胸闷呼吸时背部疼痛至萍乡市第一人民医院检查发现有包囊性<entity>打了2周的消炎药咳嗽胸闷症状有缓解但是近几天都微烧没有胃口乏力今天还有恶心干呕曾经治疗情况和效果：外婆得肺癌过世想得到怎样的帮助：如何确诊？（）
胸腔积液,症状,"我有包裹性<entity>,结核性胸膜炎，胸膜粘连增厚但是一点症状都没有不咳嗽不发烧不盗汗不胸闷，体检时才发现自己有病的曾经治疗情况和效果：住院一个半月了抽取过400毫升胸水现在包裹性积液在7肋间水的最大半径43mm距体表36mm胸膜厚20mm都一个月了水不消退也不涨医生说不做胸腔穿刺了想得到怎样的帮助：如果做胸腔镜手术是不是可以抽水，是不是我现在最好的选择啊，拜托了我马上要高考了"
胸腔积液,症状,病情描述发病时间、主要症状、症状变化等）：问题描述：患者女55岁“双下肢浮肿半月”半月前无明显诱因出现双下肢浮肿以膝下明显为凹陷性偶伴有视物不清睁眼无力眼中异物感无发热腰痛尿频尿急尿痛无头晕头痛恶心呕吐等表现于6月22日到医院检查查尿常规示：比重1.010尿蛋白5g/l+++）潜血10mg/l+）上皮细胞+++）及少许白细胞；血生化示：总蛋白50.2g/l白蛋白20.6g/l白球比0.70总胆固醇12.21mmol/l甘油三脂4.50mmol/l低密度脂蛋白胆固醇8.19mmol/l非高密度脂蛋白胆固醇10.3mmol/l钾3.57mmol/l钙1.88mmol/l心电图示V4-V6导联T波低平低小.以“蛋白尿原因待查”收住院入院后完善相关检查肝功蛋白尿常规基本同前肝炎病毒学阴性抗核抗体谱全阴性免疫全套中lgM3.36g/l胸片示：左侧胸中内带不规则高密度影肺内病变?纵隔病变?于是立即行胸部CT检查示：影像描述为前纵隔内胸腺区域内可见一肿块影大小约为6&times;9&times;13cm呈软组织样密度其向左下胸腔内生长肿块边缘包膜完整与周围组织分界清晰未见向血管间隙内侵犯肿块内密度均匀增强后均匀性强化纵隔内脏器略显受压右移.意见：1前纵隔占位考虑胸腺瘤可能；2双肺未见实质性病灶；3心脏不大主动脉壁钙化；入院检查过程中给予活血治疗每天适当利尿治疗.相应图片在附件中）既往：患者在约半年前因“尿路感染”曾验过尿常规当时尿中只有白细胞未见蛋白尿；近半年来眼睛的异物感睁眼无力曾在眼科就诊结论为沙眼给予相关对症治疗一直无明显好转最近视物模糊.既往体健精神状况佳运动后无心悸胸闷无糖尿病既往血压偏低约90/60mmhg无相关家族史无药物过敏史.经确诊为胸外科疾病后转入胸外科准备手术治疗开始对症运用“人血白蛋白”10g/d开始补充一周治疗后白蛋白无明显改善仍为白蛋白20.1g/l.另甲状腺功能检查示：T30.94nmol/lT463.62nmol/lrT30.11nmol/lhTSH10.99uIU/ml现在针对以上情况我做为家属有以下几个问题请各位专家给予指点及帮助：1现在是否耐受手术若不能是在哪些方面?2低蛋白血症应如何纠正?加大剂量给人血白蛋白肾脏能否可以耐受?要补到什么程度可以手术?3怎么避免术后有可能出现的一些症状如全身浮肿<entity>咳嗽无力蛋白持续不升等?4比如肾病综合症甲减眼征都是与这个胸腺瘤有关吗?5术中及术后的风险在哪些方面?特此鸣谢!
胸腔积液,症状,病情描述发病时间、主要症状、症状变化等）：男性，66岁，不明原因发热1月，去第一家医院检查发现腹腔积液及双侧<entity>，胸水检查为漏出液，胸膜活检提示化脓性炎症，抗炎治疗后体温降至正常出院，但出院2日后再次出现发热；曾经治疗情况和效果：后来去第二家医院，入院前两日反复发热，白细胞入院时15&times;10~9/L，嗜碱性粒细胞6.5%，骨髓象提示有核细胞极度活跃，粒细胞极度活跃，可见中毒颗粒及空泡，抗炎治疗后体温降至正常，但复查血常规白细胞18&times;10~9/L，嗜碱性粒细胞5.6%。想得到怎样的帮助：现在体温正常，但血象仍是异常，请问是什么原因？有可能是血液系统疾病吗？
胸腔积液,症状,病情描述发病时间、主要症状、症状变化等）：问题描述：你好，我父亲右侧胸部疼痛，2009年1月5日在北京昌平区医院做的CT，CT诊断如下：右肺上叶纤维化病变右肺下叶外基低段病变，暂考虑为炎可能性大建议抗炎治疗后复查右肺小叶中心及间隔旁型肺气肿右侧少量<entity>然后在家输了10天的消炎药，2009年1月20日复查CT，CT诊断如下：右肺下叶级地段病变，与前片比较无变化，建议上级医院会诊
胸腔积液,症状,宝宝五岁了肺炎有<entity>并肺部有小洞[说是什么肺部软组织坏死】严重不能治愈吗曾经治疗情况和效果：正在治疗就上上星期到徐州儿童医院治疗现在还没好想得到怎样的帮助：想知道具体病因及症状和严重程度及治疗方法能不能治愈要多长时间能治愈
胸腔积液,症状,病情描述发病时间、主要症状、症状变化等）：岁患者男29岁：此次病情：1&middot;因肋骨骨折导致血胸。2&middot;<entity>抽过没抽净。查看详情曾经治疗情况和效果：1&middot;再院做过针刺治疗。2&middot;现在没有胸闷及其它症状。查看详情想得到怎样的帮助：1&middot;还用进行那些治疗。2&middot;不治疗能行吗？
胸腔积液,症状,家里的一个亲戚总是咳嗽哮喘感觉呼吸不顺畅拍片子发现有<entity>并且会发现有肿瘤在慢慢的转移扩散医生说这是总格非火气紧邻八路的症状病情恶化会很严重曾经治疗情况和效果：纵隔非霍奇金淋巴瘤有什么不良影响（）
胸腔积液,症状,病情描述发病时间、主要症状、症状变化等）：岁两侧有<entity>，红色的，晚上发病，胸闷气短，曾经治疗情况和效果：消炎药，没有什么好转，想得到怎样的帮助：<entity>的原因，怎样控制?
胸腔积液,症状,除了干咳没有明显症状身体一直都很好干咳半年后就医<entity>检测胸积液提示说乳头状腺癌左肺下5cm肿瘤医生准备进行化疗说不能手术了因为现在感觉身体很好除了胸水没有任何不适症状想知道除了化疗还有其他方法吗？想得到怎样的帮助：求助一些中药或者辅助食物不能先切除再化疗吗？（
胸腔积液,症状,女37岁此前身体状况良好此次病情1发热头昏2胸闷气紧呼吸困难不咳嗽曾经治疗情况和效果：检查拍片结果为右侧<entity>结核性胸膜炎抽三次积液一共一千多毫升住了十天院后服抗结核病药现在服了三个月了复查各指标均正常现仍在服利福平和异烟聠片胸膜炎症状基本没有但皮肤越来越黑越来越黄想得到怎样的帮助：想请问服抗结核药后皮肤为什么会越来越黑越来越黄有什么办法改善皮肤肤色停药后皮肤会恢复以前吗（）
胸腔积液,症状,病情描述发病时间、主要症状、症状变化等）：10天前因感冒后出现咳嗽、气短症状，并伴全身乏力，不思饮食，精神差，二便一般，消瘦体型。10天前发病，曾在私人门诊按感冒输液3天效果不佳，10年前得过结核性胸膜炎。曾经治疗情况和效果：胸片及肺CT检查提示：左肺感染及左侧<entity>，血尿常规正常，血生化基本正常；给予阿莫西林舒巴坦4.5左氧氟沙星0.2及支持治疗；并行胸穿，当日晚出现颈部疼痛不适，第二日出现胸部及背部广泛皮下气肿，胸部透视未发现有气胸，曾用注射器抽气2次效果一般；现患者气短较前加重，且疼痛明显。想得到怎样的帮助：请问皮下气肿的原因及下一步该如何治疗，是否有产气杆菌产气？
胸腔积液,症状,主要症状：<entity>发病时间：发现不久，已经是晚期化验检查结果：
胸腔积液,症状,患者信息：56岁病情描述(发病时间、主要症状等)：<entity>抽水一次，痰里都未检查出癌细胞，目前无明显症状，请问是否是肺癌或是其他的，此前有气促，呼吸困难，咳嗽，咳血，食欲不振消瘦等症状，但经治疗目前无明显症状，并且能吃能喝精神也挺好，请问这是肺癌么，因为体质问题没有做气管镜检查。想得到怎样的帮助：想看看有没有中药的治疗？<entity>抽水一次，痰里都未检查出癌细胞，目前无明显症状，请问是否是肺癌或是其他的，此前有气促，呼吸困难，咳嗽，咳血，食欲不振消瘦等症状，但经治疗目前无明显症状，并且能吃能喝精神也挺好，请问这是肺癌么，因为体质问题没有做气管镜检查。
胸腔积液,症状,喘气胸疼晚上咳嗽有痰曾经治疗情况及是否有过敏、遗传病史：没有想得到怎样的帮助：该怎么治疗为什么会<entity>结核性胸膜炎是什么症状
胸腔积液,症状,右侧大量<entity>叩诊有何症状
